created_time,message
11/1/2021 21:41,"This is the guy they want to put into our White House. He is a pedophile, criminal and plagiarist. Are you ok with this?!  This shows how sick and twisted Biden really is towards children. Must read and share!  https://m.facebook.com/story.php?story_fbid=845525556213568&id=100022683936567  https://m.facebook.com/story.php?story_fbid=849158405850283&id=100022683936567  https://m.facebook.com/story.php?story_fbid=849155695850554&id=100022683936567  THIS IS MUCH BIGGER THAN WE THOUGHT. THE 3 HARD DRIVES CONTAIN THE EVIDENCE OF THE DEMOCTRAT PARTY WORKING DIRECTLY WITH THE CHINESE COMMUNIST PARTY (CCP) TO PUT AMERICA UNDER THE CONTROL OF CHINA. THIS STORY IS CONVOLUTED, ONE STORY ABOUT HUNTER'S LAPTOP CONTENTS, WITH A DEEPER STORY OF THE CCP COMPROMISING HIGH LEVEL POLITICIANS ON VIDEO WITH UNDERAGE SEX SLAVES AND COPIOUS AMOUNTS OF MONEY FOR THE PURPOSE OF CONTROLLING THEM AND THEIR POLICY DECISIONS. CHINA HAD ALL OF THIS EVIDENCE FIRST, BECAUSE THEY INITIATED THE EVIDENCE BY SETTING UP TOP OFFICIALS (AND THEIR FAMILY MEMBERS), AND THEY HAVE BEEN USING IT TO BLACKMAIL AND CONTROL THE ENTIRE UPPER LEVELS OF THE DEMOCRAT PARTY AND SOME REPUBLICANS TOO. THE ENTIRE DEEP STATE SWAMP IS IN THE BACK POCKET OF THE CHINESE COMMUNIST PARTY. THE HARD DRIVES ARE IN THE HANDS OF TRUMP, DOJ, AND FBI, AND COPIES OF THE DRIVES WERE SENT TO PELOSI WEEKS, OR EVEN MONTHS, AGO AS A CLEAR MESSAGE--""WE HAVE THE EVIDENCE ON ALL OF YOU SO, WHATEVER IT TAKES, DEFEAT TRUMP OR YOU'RE ALL GOING DOWN"". THE REASON THIS STORY IS BEING SO BLATANTLY CENSORED IS BECAUSE IT'S WAY BIGGER THAN JUST THE BIDENS. IT'S A GLOBAL GAME-CHANGER. FB HAS MAJOR FILTERING ON THE ACCOMPANYING VIDEO SO I HAVE POSTED THE VIDEO LINK IN THE COMMENT SECTION BELOW. OPEN IT FROM THERE. THE CHINESE BILLIONAIRE SPEAKING IN THE VIDEO WENT MISSING A FEW WEEKS AGO. I CAN GUARANTEE YOU, HE WILL NEVER BE HEARD FROM AGAIN. (If you share this post, please paste the video link from my comment feed into your comment feed).  Here's your proof of Biden's involvement in the attempted overthrow of the United States! Pelosi is called out on this video by China!  https://www.facebook.com/100009127255190/posts/2716503935330488/"
11/1/2021 21:40,"Biden is the biggest traitor and criminal in the history of the United States!! Here's your proof of Biden's involvement in the attempted overthrow of the United States! Pelosi is called out on this video by China!  https://www.facebook.com/100009127255190/posts/2716503935330488/  THIS IS MUCH BIGGER THAN WE THOUGHT. THE 3 HARD DRIVES CONTAIN THE EVIDENCE OF THE DEMOCTRAT PARTY WORKING DIRECTLY WITH THE CHINESE COMMUNIST PARTY (CCP) TO PUT AMERICA UNDER THE CONTROL OF CHINA. THIS STORY IS CONVOLUTED, ONE STORY ABOUT HUNTER'S LAPTOP CONTENTS, WITH A DEEPER STORY OF THE CCP COMPROMISING HIGH LEVEL POLITICIANS ON VIDEO WITH UNDERAGE SEX SLAVES AND COPIOUS AMOUNTS OF MONEY FOR THE PURPOSE OF CONTROLLING THEM AND THEIR POLICY DECISIONS. CHINA HAD ALL OF THIS EVIDENCE FIRST, BECAUSE THEY INITIATED THE EVIDENCE BY SETTING UP TOP OFFICIALS (AND THEIR FAMILY MEMBERS), AND THEY HAVE BEEN USING IT TO BLACKMAIL AND CONTROL THE ENTIRE UPPER LEVELS OF THE DEMOCRAT PARTY AND SOME REPUBLICANS TOO. THE ENTIRE DEEP STATE SWAMP IS IN THE BACK POCKET OF THE CHINESE COMMUNIST PARTY. THE HARD DRIVES ARE IN THE HANDS OF TRUMP, DOJ, AND FBI, AND COPIES OF THE DRIVES WERE SENT TO PELOSI WEEKS, OR EVEN MONTHS, AGO AS A CLEAR MESSAGE--""WE HAVE THE EVIDENCE ON ALL OF YOU SO, WHATEVER IT TAKES, DEFEAT TRUMP OR YOU'RE ALL GOING DOWN"". THE REASON THIS STORY IS BEING SO BLATANTLY CENSORED IS BECAUSE IT'S WAY BIGGER THAN JUST THE BIDENS. IT'S A GLOBAL GAME-CHANGER. FB HAS MAJOR FILTERING ON THE ACCOMPANYING VIDEO SO I HAVE POSTED THE VIDEO LINK IN THE COMMENT SECTION BELOW. OPEN IT FROM THERE. THE CHINESE BILLIONAIRE SPEAKING IN THE VIDEO WENT MISSING A FEW WEEKS AGO. I CAN GUARANTEE YOU, HE WILL NEVER BE HEARD FROM AGAIN. (If you share this post, please paste the video link from my comment feed into your comment feed)."
11/1/2021 21:40,"THIS IS MUCH BIGGER THAN WE THOUGHT. THE 3 HARD DRIVES CONTAIN THE EVIDENCE OF THE DEMOCTRAT PARTY WORKING DIRECTLY WITH THE CHINESE COMMUNIST PARTY (CCP) TO PUT AMERICA UNDER THE CONTROL OF CHINA. THIS STORY IS CONVOLUTED, ONE STORY ABOUT HUNTER'S LAPTOP CONTENTS, WITH A DEEPER STORY OF THE CCP COMPROMISING HIGH LEVEL POLITICIANS ON VIDEO WITH UNDERAGE SEX SLAVES AND COPIOUS AMOUNTS OF MONEY FOR THE PURPOSE OF CONTROLLING THEM AND THEIR POLICY DECISIONS. CHINA HAD ALL OF THIS EVIDENCE FIRST, BECAUSE THEY INITIATED THE EVIDENCE BY SETTING UP TOP OFFICIALS (AND THEIR FAMILY MEMBERS), AND THEY HAVE BEEN USING IT TO BLACKMAIL AND CONTROL THE ENTIRE UPPER LEVELS OF THE DEMOCRAT PARTY AND SOME REPUBLICANS TOO. THE ENTIRE DEEP STATE SWAMP IS IN THE BACK POCKET OF THE CHINESE COMMUNIST PARTY. THE HARD DRIVES ARE IN THE HANDS OF TRUMP, DOJ, AND FBI, AND COPIES OF THE DRIVES WERE SENT TO PELOSI WEEKS, OR EVEN MONTHS, AGO AS A CLEAR MESSAGE--""WE HAVE THE EVIDENCE ON ALL OF YOU SO, WHATEVER IT TAKES, DEFEAT TRUMP OR YOU'RE ALL GOING DOWN"". THE REASON THIS STORY IS BEING SO BLATANTLY CENSORED IS BECAUSE IT'S WAY BIGGER THAN JUST THE BIDENS. IT'S A GLOBAL GAME-CHANGER. FB HAS MAJOR FILTERING ON THE ACCOMPANYING VIDEO SO I HAVE POSTED THE VIDEO LINK IN THE COMMENT SECTION BELOW. OPEN IT FROM THERE. THE CHINESE BILLIONAIRE SPEAKING IN THE VIDEO WENT MISSING A FEW WEEKS AGO. I CAN GUARANTEE YOU, HE WILL NEVER BE HEARD FROM AGAIN. (If you share this post, please paste the video link from my comment feed into your comment feed).  Here's your proof of Biden's involvement in the attempted overthrow of the United States! Pelosi is called out on this vi"
11/1/2021 21:40,"While watching this video, please keep in mind that BLM/Antifa have destroyed democratic run cities with no repercussion, they've killed police officers and injured over 1,000. To date, they have been openly allowed to commit crimes, again with no repercussion. We have many well known corporations donating to them as well as many celebrities. With that being said, I am asking every American citizen to boycott anyone that is donating to homeland terrorism. If you see a commercial advertising BLM, call them and demand that it be removed!  FYI Money donated to BLM, goes to ""Act Blue"" which is actually a fund raising arm of the Democratic Party. So, basically the Democrats funded the destruction of their Democrat run states. If you donated to BLM, you actually funded murdering police officers as well as the over 1,000 that were injured. Many innocent American citizens were also murdered and/or injured by BLM.  The money donated didn't go to improve black neighborhoods and/or black people's lives, the money donated gave them the capability to heavily arm each and everyone of them. Now, they all have body armor as well as the most sophisticated weapons money can buy.   Do not donate to these homeland terrorists! In actuality, since they are self proclaimed marxist/communist, you are donating to your own demise. Their goal is to destroy capitalism as well as the family nucleus. FYI Hitler, did the same thing before he killed millions of innocent jewish people using gas chambers and mass graves."
11/1/2021 21:24,Insane 
11/1/2021 21:02,He is sure a waste he is no president
11/1/2021 20:19,germany1933 united states 2021.
11/1/2021 19:59,Fuck Biden the pedophile
11/1/2021 18:07,??
11/1/2021 14:09,Buh Bye
